,C:maj,C#:maj,D:maj,D#:maj,E:maj,F:maj,F#:maj,G:maj,G#:maj,A:maj,A#:maj,B:maj,C:min,C#:min,D:min,D#:min,E:min,F:min,F#:min,G:min,G#:min,A:min,A#:min,B:min,N,X
C:maj,0,9,513,36,15,1355,13,1306,82,17,617,22,42,7,1164,1,1170,15,0,568,6,1684,6,594,10,0
C#:maj,16,0,21,593,32,19,1385,23,1153,55,26,564,506,65,7,1111,4,1094,5,0,587,2,1577,3,20,0
D:maj,591,20,0,20,566,44,20,1467,14,1190,74,13,10,405,39,1,1057,1,1141,5,0,588,2,1617,18,0
D#:maj,30,607,12,0,24,560,36,23,1288,10,1325,81,1689,7,527,63,5,1078,1,1186,9,0,480,8,22,0
E:maj,82,22,541,16,0,22,556,28,17,1448,17,1319,4,1569,5,505,52,3,1088,2,1162,14,0,514,17,0
F:maj,1341,89,25,605,13,0,20,593,30,12,1442,13,521,6,1731,7,553,67,6,1169,2,1162,13,0,18,0
F#:maj,15,1251,58,21,606,19,0,24,557,33,22,1188,0,519,5,1793,10,519,59,7,1080,2,1043,16,9,0
G:maj,1353,22,1359,76,28,620,15,0,15,575,23,18,6,0,588,2,1792,8,529,64,10,1267,5,1225,21,0
G#:maj,18,1331,7,1254,62,14,520,11,0,20,553,27,1113,10,1,423,9,1515,5,461,52,3,1037,5,22,0
A:maj,34,22,1276,19,1290,77,17,673,9,0,17,549,2,1221,3,0,504,1,1640,6,549,42,7,1094,19,0
A#:maj,577,34,13,1405,16,1352,76,20,597,2,0,36,1211,0,1191,9,0,527,3,1840,6,497,44,7,24,0
B:maj,18,493,24,16,1266,10,1263,76,25,570,13,0,8,1098,1,1109,22,0,562,4,1552,11,617,72,17,0
C:min,88,387,15,1468,7,513,10,90,1108,20,1250,7,0,4,397,1,6,1058,0,1138,3,3,400,4,20,0
C#:min,14,81,437,17,1309,18,522,10,73,1227,23,1153,7,0,7,337,5,5,1090,1,1046,2,1,365,5,0
D:min,1265,24,101,431,19,1502,17,520,11,78,1162,24,443,6,0,7,373,9,2,1080,0,1092,9,1,21,0
D#:min,19,1102,15,107,468,29,1371,20,381,27,95,1147,2,405,8,0,3,395,4,7,1041,0,979,4,18,0
E:min,1146,33,1217,18,98,429,15,1434,15,500,13,69,2,5,438,3,0,6,458,3,3,1018,0,1036,12,0
F:min,94,1074,19,1155,11,90,418,28,1330,9,522,17,1069,7,2,334,3,0,5,411,1,1,992,3,19,0
F#:min,13,64,1120,16,1213,19,80,431,19,1428,16,484,0,1104,5,4,419,6,0,1,465,5,2,1007,13,0
G:min,519,19,84,1225,26,1286,10,78,425,21,1575,12,1065,0,1081,9,5,414,3,0,4,466,2,3,37,0
G#:min,16,532,23,53,1260,19,1142,13,81,464,26,1539,3,977,0,991,3,5,397,0,0,2,388,4,7,0
A:min,1414,18,478,12,83,1216,22,1362,23,99,428,17,3,2,1056,0,981,1,7,478,0,0,6,448,20,0
A#:min,23,1497,14,407,13,86,1142,31,1066,12,92,387,369,3,6,1009,6,964,2,3,419,2,0,3,13,0
B:min,476,28,1445,7,483,16,94,1252,25,1139,20,82,2,412,0,3,1060,0,991,7,4,382,8,0,9,0
N,24,35,24,35,27,37,15,28,29,18,23,10,4,8,8,7,10,5,8,10,5,9,3,5,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
