,C:maj,C#:maj,D:maj,D#:maj,E:maj,F:maj,F#:maj,G:maj,G#:maj,A:maj,A#:maj,B:maj,C:min,C#:min,D:min,D#:min,E:min,F:min,F#:min,G:min,G#:min,A:min,A#:min,B:min,N,X
C:maj,0,3,854,0,60,2137,1,1567,0,87,0,146,103,0,608,0,186,155,0,277,0,454,0,124,149,434
C#:maj,0,0,8,0,10,0,105,0,19,1,0,9,0,2,6,2,0,0,45,0,0,0,0,0,4,12
D:maj,872,7,0,2,627,140,22,1713,0,1644,0,155,14,71,63,0,388,3,162,85,5,151,0,423,135,334
D#:maj,0,0,0,0,5,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,5,0,0,3,0,0
E:maj,104,8,522,3,0,85,172,167,28,1676,0,855,0,390,8,18,23,3,295,1,36,227,0,125,127,276
F:maj,2150,0,143,0,170,0,6,876,0,18,0,10,150,0,313,0,145,81,1,389,0,178,0,1,134,600
F#:maj,0,43,27,5,202,12,0,18,20,49,0,388,0,82,3,10,1,0,4,1,25,0,0,116,11,56
G:maj,1670,0,1787,0,108,785,26,0,2,1003,0,58,100,0,207,0,471,13,111,52,0,518,0,152,161,274
G#:maj,0,30,0,0,13,0,18,0,0,18,0,0,0,46,0,56,0,0,3,0,0,0,0,0,3,11
A:maj,155,5,1859,0,1628,76,81,782,16,0,2,610,1,151,161,0,254,1,159,29,81,48,0,363,134,328
A#:maj,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B:maj,48,64,72,4,1212,6,303,47,8,385,0,0,5,148,2,6,221,19,50,4,74,8,0,17,59,131
C:min,31,0,36,0,0,251,0,59,0,9,0,4,0,2,17,0,0,261,0,113,0,3,0,2,35,106
C#:min,0,3,67,0,94,0,128,2,31,371,0,69,2,0,0,16,0,0,135,0,55,0,0,55,9,38
D:min,533,0,13,0,32,280,0,362,0,114,0,0,25,0,0,0,119,6,0,113,0,271,0,4,39,119
D#:min,0,0,0,0,21,0,2,0,56,0,0,7,0,0,0,0,0,1,2,0,31,0,0,0,1,3
E:min,191,0,302,0,5,121,12,305,0,435,0,33,7,0,135,0,0,1,68,33,0,267,0,159,38,250
F:min,126,0,2,0,26,38,0,23,0,5,0,23,207,0,4,1,4,0,2,136,0,3,0,5,41,180
F#:min,3,24,142,0,264,4,2,159,3,186,0,178,0,28,0,0,83,0,0,3,27,4,0,110,2,87
G:min,453,0,86,0,0,263,0,13,0,36,0,5,196,0,31,0,0,93,15,0,3,49,0,6,30,144
G#:min,0,14,7,0,7,0,42,0,0,59,0,22,0,77,0,8,0,0,71,15,0,0,0,0,1,39
A:min,251,0,297,0,43,481,0,484,0,10,0,25,2,0,324,0,140,6,4,49,0,0,0,80,35,265
A#:min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B:min,134,5,272,0,201,6,33,384,0,299,0,11,0,18,3,3,175,1,136,4,0,104,0,0,17,86
N,136,1,121,0,108,140,16,157,0,92,0,35,37,9,46,1,30,51,4,33,1,56,0,21,0,283
X,487,16,399,12,311,541,104,380,4,427,0,247,80,51,101,3,122,133,42,86,19,155,0,126,212,0
