,C:maj,C#:maj,D:maj,D#:maj,E:maj,F:maj,F#:maj,G:maj,G#:maj,A:maj,A#:maj,B:maj,C:min,C#:min,D:min,D#:min,E:min,F:min,F#:min,G:min,G#:min,A:min,A#:min,B:min,N,X
C:maj,0,2,16,0,0,124,2,69,2,13,0,5,9,0,6,0,2,78,0,2,4,9,3,2,0,0
C#:maj,0,0,0,4,0,3,49,0,36,3,5,0,1,4,2,3,1,2,19,6,0,1,4,5,0,0
D:maj,12,0,0,8,7,0,3,109,2,36,5,4,5,0,8,0,6,1,0,102,0,4,1,2,0,0
D#:maj,1,1,4,0,2,1,0,9,57,2,35,1,24,0,6,4,0,1,4,0,5,0,0,1,0,0
E:maj,1,3,4,0,0,6,2,0,2,46,0,24,1,1,7,0,6,0,2,4,2,45,0,1,0,0
F:maj,97,0,7,0,1,0,8,8,1,9,61,0,2,1,8,4,4,3,5,2,0,2,47,0,0,0
F#:maj,0,29,0,3,1,3,0,10,2,1,0,20,2,1,1,2,2,6,6,2,2,0,6,34,0,0
G:maj,103,0,59,0,5,2,2,0,0,2,1,10,71,0,4,0,14,6,1,9,1,12,0,5,0,0
G#:maj,8,50,0,30,0,0,2,2,0,0,0,0,2,13,9,1,0,7,2,4,2,0,0,0,0,0
A:maj,9,5,64,0,28,2,4,1,0,0,11,5,0,7,107,0,5,2,1,8,2,3,0,0,0,0
A#:maj,2,2,9,68,2,26,0,2,1,12,0,4,1,0,3,48,1,0,0,9,2,12,11,0,0,0
B:maj,11,1,4,2,39,0,7,0,3,0,3,0,0,1,0,1,41,0,0,0,5,8,2,3,0,0
C:min,6,4,11,18,0,23,0,47,5,0,8,0,0,0,24,0,4,23,3,16,0,2,5,12,0,0
C#:min,0,3,1,1,1,0,11,0,3,5,0,1,0,0,0,1,0,0,6,0,0,0,0,7,0,0
D:min,2,0,4,8,10,9,0,11,0,90,7,0,32,0,0,0,9,0,2,3,3,11,0,2,0,0
D#:min,3,3,0,0,0,2,2,0,1,0,33,3,2,0,0,0,5,0,0,0,0,0,15,0,0,0
E:min,0,3,7,0,13,9,2,6,1,12,0,22,0,2,5,4,0,7,0,0,4,8,1,9,0,0
F:min,51,10,0,8,0,12,5,11,2,0,9,0,25,0,0,0,6,0,5,10,0,0,7,5,0,0
F#:min,2,11,0,6,1,0,3,8,7,4,1,2,3,0,0,0,1,2,0,6,2,0,0,3,0,0
G:min,23,2,92,0,6,7,0,8,4,13,2,0,6,0,2,0,0,8,2,0,2,4,0,0,0,0
G#:min,0,10,0,1,2,4,0,0,0,7,7,0,0,1,3,0,0,0,0,0,0,3,0,4,0,0
A:min,4,0,30,0,32,6,0,2,0,6,8,11,4,0,9,0,3,2,0,0,4,0,3,8,0,0
A#:min,7,4,0,1,0,33,4,0,2,0,18,4,9,0,0,2,3,13,0,0,0,4,0,1,0,0
B:min,6,6,4,0,7,0,27,2,0,1,0,15,12,9,0,0,2,3,4,0,2,4,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
